evento,descricao,similar_event,descricao_similar,similarity
GDT 7 - ENAPET 2019,"Que, após a Assembleia Geral do XXIV ENAPET, o CLAA garanta a participação discente nos processos seletivos para discentes e tutores dos grupos PET, garantindo a horizontalidade dos processos seletivos. (Aprovado como sugestão por contraste);",GDT 4 - ENEPET 2020,Sugerimos que os grupos PET busquem a participação de pessoas petianas egressas nos processos seletivos de novos integrantes;,0.36068223987978465
GDT 4 - ENEPET 2020,Sugerimos que os grupos PET busquem a participação de pessoas petianas egressas nos processos seletivos de novos integrantes;,GDT 7 - ENAPET 2019,"Que, após a Assembleia Geral do XXIV ENAPET, o CLAA garanta a participação discente nos processos seletivos para discentes e tutores dos grupos PET, garantindo a horizontalidade dos processos seletivos. (Aprovado como sugestão por contraste);",0.36068223987978465
GDT 11: Desligamento de petianos: quando pode acon - ENAPET 2022,"Encaminhamento 1: Que, após o término do XXVII ENAPET, a Diretoria da CENAPET envie à SESu/MEC a solicitação de exclusão do inciso “IV - acumular duas reprovações em disciplinas após o seu ingresso no PET;” do artigo 20 da Portaria 343, DE 24 DE ABRIL DE 2013 onde altera dispositivos da Portaria MEC n° 976, de 27 de julho de 2010, que dispõe sobre o Programa de Educação Tutorial, delegando ao CLAA avaliar a manutenção, ou não, do discente em caso de maior número de reprovações. [ALTERAÇÃO DE TEXTO] GDT 11 (Encaminhamento 1): Que, após o término do XXVII ENAPET, a Diretoria da CENAPET envie à SESu/MEC a solicitação de exclusão sobre acúmulo de duas reprovações em disciplinas após o seu ingresso no PET. 40 pessoas presentes - Aprovado 76%",GDT 7 - ENAPET 2019,"Que a Diretoria da Cenapet após o XXIV Enapet solicite ao MEC que efetue a revisão do Artigo 20 da Portaria nº 976/2010 do MEC, inciso IV, que versa sobre o desligamento do petiano quando do acúmulo de 2 reprovações após seu ingresso no PET, (elevando-se o limite de reprovações) aplicando-se cálculo que leve em consideração o curso do aluno e/ou a carga horária semestral de disciplinas cursadas pelo mesmo promovendo a redução de rotatividade de petianos.",0.3370488716492818
Encontro de discentes - GD 3 - ENAPET 2020,Que após o XXV ENAPET os grupos PET que possuírem regimento interno incluam um capítulo sobre processo seletivo de novos PETianos/as.,GDT 22 + 23:Regimentos Internos: como os grupos PE - ENAPET 2022,"Encaminhamento 1: Que os grupos PET, após o ENAPET 2022, e em seus
próximos processos de seleção de novos integrantes, insiram a leitura do MOB e/ou
regimento interno do grupo como requisito obrigatório no processo seletivo, sem que
isto acarrete, no entanto, na desclassificação.
109 pessoas presentes - Suprimido 75%",0.3117103873983631
GDT 22 + 23:Regimentos Internos: como os grupos PE - ENAPET 2022,"Encaminhamento 1: Que os grupos PET, após o ENAPET 2022, e em seus
próximos processos de seleção de novos integrantes, insiram a leitura do MOB e/ou
regimento interno do grupo como requisito obrigatório no processo seletivo, sem que
isto acarrete, no entanto, na desclassificação.
109 pessoas presentes - Suprimido 75%",Encontro de discentes - GD 3 - ENAPET 2020,Que após o XXV ENAPET os grupos PET que possuírem regimento interno incluam um capítulo sobre processo seletivo de novos PETianos/as.,0.3117103873983631
GDT 2 - ENAPET 2019,"Que a Diretoria da CENAPET solicite à SESu/MEC, na primeira reunião que a diretoria da CENAPET tiver com a SESu/MEC, após a publicação da Ata da assembleia do ENAPET 2019, a alteração do Art. 11, §1º da Portaria nº 343/2013, contendo o seguinte texto: “A representação da administração da IES poderá incluir representantes de Pró-Reitorias, coordenadores de curso, chefes de departamentos ou órgãos equivalentes, devendo ser 50% dos integrantes dos CLAA composto por membros dos grupos PET, e ainda exista paridade entre discentes e tutores/as.”

#SESu/MEC #CLAA",GT 3 - ENAPET 2018,"Que a Diretoria da CENAPET solicite ao MEC a inclusão na Portaria Nº 976/2010 da obrigatoriedade de que 50% dos integrantes dos CLAA sejam membros dos grupos PET, bem como a obrigatoriedade de paridade entre discentes e tutores/as nessa parcela.",0.30773323297733757
GT 3 - ENAPET 2018,"Que a Diretoria da CENAPET solicite ao MEC a inclusão na Portaria Nº 976/2010 da obrigatoriedade de que 50% dos integrantes dos CLAA sejam membros dos grupos PET, bem como a obrigatoriedade de paridade entre discentes e tutores/as nessa parcela.",GDT 2 - ENAPET 2019,"Que a Diretoria da CENAPET solicite à SESu/MEC, na primeira reunião que a diretoria da CENAPET tiver com a SESu/MEC, após a publicação da Ata da assembleia do ENAPET 2019, a alteração do Art. 11, §1º da Portaria nº 343/2013, contendo o seguinte texto: “A representação da administração da IES poderá incluir representantes de Pró-Reitorias, coordenadores de curso, chefes de departamentos ou órgãos equivalentes, devendo ser 50% dos integrantes dos CLAA composto por membros dos grupos PET, e ainda exista paridade entre discentes e tutores/as.”

#SESu/MEC #CLAA",0.30773323297733757
GT 4 - ENAPET 2018,"Que os representantes discentes e docentes do Comitê Local de Acompanhamento e Avaliação - CLAA, por meio de uma pauta de reunião, solicitem ao CLAA da sua Instituição de Ensino Superior - IES que este fiscalize e acompanhe a participação dos/as tutores/as em eventos regionais e nacionais a partir da aprovação no XXIII ENAPET.",GDT3 - ENAPET 2019,"(Encaminhamento 3.24): Que a Diretoria da CENAPET elabore uma moção incentivando que os representantes discentes do CLAA de cada IES solicite ao respectivo Comitê que acompanhe e fiscalize a implementação de cotas nos processos seletivos dos grupos PET, a fim de garantir a diversidade e assegurar a realização e implementação dos encaminhamentos aprovados em assembleia dos encontros regionais e nacionais. (Aprovado por contraste).",0.3024939642076655
GDT3 - ENAPET 2019,"(Encaminhamento 3.24): Que a Diretoria da CENAPET elabore uma moção incentivando que os representantes discentes do CLAA de cada IES solicite ao respectivo Comitê que acompanhe e fiscalize a implementação de cotas nos processos seletivos dos grupos PET, a fim de garantir a diversidade e assegurar a realização e implementação dos encaminhamentos aprovados em assembleia dos encontros regionais e nacionais. (Aprovado por contraste).",GT 4 - ENAPET 2018,"Que os representantes discentes e docentes do Comitê Local de Acompanhamento e Avaliação - CLAA, por meio de uma pauta de reunião, solicitem ao CLAA da sua Instituição de Ensino Superior - IES que este fiscalize e acompanhe a participação dos/as tutores/as em eventos regionais e nacionais a partir da aprovação no XXIII ENAPET.",0.3024939642076655
GT 4 - ENAPET 2018,Que a Comissão Nacional do Mobiliza PET inclua na pauta de reivindicação do VI Mobiliza PET o lançamento de novos editais ao Ministério da Educação quanto à abertura de grupos para o início de 2019.,GDT 2 - Mobiliza PET e Visibilidade do Programa na - ENAPET 2020,"Que a partir do ano de 2021, todos os PET-IES se articulam com o Mobiliza PET Nacional objetivando fundar uma célula do Mobiliza PET em cada IES. O Mobiliza PET Nacional fica com a tarefa de orientar cada IES para construir seu Mobiliza Local. As diretrizes das células do Mobiliza PET - IES serão de acordo com as próprias realidades, mas para além delas, que o Mobiliza PET também tenha e sugira pautas alinhadas com todas as células do Mobiliza, buscando alinhamento com a conjuntura nacional.",0.2950367332984468
GDT 2 - Mobiliza PET e Visibilidade do Programa na - ENAPET 2020,"Que a partir do ano de 2021, todos os PET-IES se articulam com o Mobiliza PET Nacional objetivando fundar uma célula do Mobiliza PET em cada IES. O Mobiliza PET Nacional fica com a tarefa de orientar cada IES para construir seu Mobiliza Local. As diretrizes das células do Mobiliza PET - IES serão de acordo com as próprias realidades, mas para além delas, que o Mobiliza PET também tenha e sugira pautas alinhadas com todas as células do Mobiliza, buscando alinhamento com a conjuntura nacional.",GT 4 - ENAPET 2018,Que a Comissão Nacional do Mobiliza PET inclua na pauta de reivindicação do VI Mobiliza PET o lançamento de novos editais ao Ministério da Educação quanto à abertura de grupos para o início de 2019.,0.2950367332984468
GDT 2 - InterPET 2019.1,"Que seja incluído no planejamento dos grupos PET ao menos uma atividade (espaço de discussão) que proponha troca e compartilhamento de experiências entre os/as membros da comunidade e a Universidade, a fim de fortalecer a relação destes conhecimentos diversos.",GT 7 - ENAPET 2018,"Que nos próximos eventos, nacionais e regionais, as comissões organizadoras, durante o planejamento das atividades do evento, incluam o tema InterPET como tema de pelo menos um Grupo de Discussão e Trabalho, ou Encontro por Atividade ou algum outro espaço organizado para troca de experiências.",0.28827580370632455
GT 7 - ENAPET 2018,"Que nos próximos eventos, nacionais e regionais, as comissões organizadoras, durante o planejamento das atividades do evento, incluam o tema InterPET como tema de pelo menos um Grupo de Discussão e Trabalho, ou Encontro por Atividade ou algum outro espaço organizado para troca de experiências.",GDT 2 - InterPET 2019.1,"Que seja incluído no planejamento dos grupos PET ao menos uma atividade (espaço de discussão) que proponha troca e compartilhamento de experiências entre os/as membros da comunidade e a Universidade, a fim de fortalecer a relação destes conhecimentos diversos.",0.28827580370632455
Minuta: Ações Afirmativas e Diversidades - ENAPET 2020,"Reapresentamos e reafirmamos em nosso 25° ENAPET, para que os grupos PET incluam, a partir de 2021, nos seus editais de seleção, critérios de Ações Afirmativas de ingresso, na forma de acréscimo de pontuação, reserva de vagas ou outros meios que considerem adequados, para os estudantes negros, indígenas, oriundos de comunidades tradicionais, pessoas com deficiência (PCD) e LGBTTQIA+, em consonância com Portaria MEC no 976, de 27 de julho de 2010, Art.2o, inciso VIII, dada pela Portaria MEC no 343, de 24 de abril de 2013, na qual se lê que é objetivo dos grupos PET contribuir com a política de diversidade na instituição de ensino superior por meio de ações afirmativas em defesa da equidade socioeconômica,  étnico-racial e de gênero. Aprovada em bloco (Votos: 166. Favorável: 87%; 2a opção mais votada - Abstenção: 11% )",GT 6 - ENAPET 2018,"De acordo com o item VIII do artigo 2º da portaria nº 976/2010, incluído pela portaria nº 343/2013 do MEC sobre o PET é obrigatório ao programa “contribuir com a política de diversidade na instituição de ensino superior por meio de ações afirmativas em defesa da equidade socioeconômica, étnico-racial e de gênero”. Dessa forma, cabe ao CLAA garantir a inclusão de ao menos uma atividade coletiva que trabalhe questões de diversidade (gênero e orientação sexual, relações étnico-raciais, classe, religião, estética, deficiência física e intelectual, regionalismo/xenofobia, etc) no Planejamento Anual de Atividades, a partir de 2019, bem como fiscalizar a realização desta no Relatório Anual de Atividades.",0.28392201822168806
GT 6 - ENAPET 2018,"De acordo com o item VIII do artigo 2º da portaria nº 976/2010, incluído pela portaria nº 343/2013 do MEC sobre o PET é obrigatório ao programa “contribuir com a política de diversidade na instituição de ensino superior por meio de ações afirmativas em defesa da equidade socioeconômica, étnico-racial e de gênero”. Dessa forma, cabe ao CLAA garantir a inclusão de ao menos uma atividade coletiva que trabalhe questões de diversidade (gênero e orientação sexual, relações étnico-raciais, classe, religião, estética, deficiência física e intelectual, regionalismo/xenofobia, etc) no Planejamento Anual de Atividades, a partir de 2019, bem como fiscalizar a realização desta no Relatório Anual de Atividades.",Minuta: Ações Afirmativas e Diversidades - ENAPET 2020,"Reapresentamos e reafirmamos em nosso 25° ENAPET, para que os grupos PET incluam, a partir de 2021, nos seus editais de seleção, critérios de Ações Afirmativas de ingresso, na forma de acréscimo de pontuação, reserva de vagas ou outros meios que considerem adequados, para os estudantes negros, indígenas, oriundos de comunidades tradicionais, pessoas com deficiência (PCD) e LGBTTQIA+, em consonância com Portaria MEC no 976, de 27 de julho de 2010, Art.2o, inciso VIII, dada pela Portaria MEC no 343, de 24 de abril de 2013, na qual se lê que é objetivo dos grupos PET contribuir com a política de diversidade na instituição de ensino superior por meio de ações afirmativas em defesa da equidade socioeconômica,  étnico-racial e de gênero. Aprovada em bloco (Votos: 166. Favorável: 87%; 2a opção mais votada - Abstenção: 11% )",0.28392201822168806
GDT3 - ENAPET 2019,"Que a Diretoria da CENAPET solicite ao MEC, em sua
próxima reunião, a revisão da Portaria nº 976/2013 a fim de revogar o inciso 4° do
artigo 20 (referente ao desligamento após duas reprovações). É necessário entender as
especificidades culturais das comunidades e povos tradicionais com o objetivo de
garantir a permanência dos mesmos tanto no PET como nas IES.",GDT 14: Seleção e desligamento no Programa - ENAPET 2020,"Que a diretoria da CENAPET proponha ao MEC, em reunião ou ofıcio, apos aprovação na Assembleia Geral do XXV ENAPET, a revisao do artigo 20, inciso IV, da portaria n° 976/2010, que refere-se sobre o desligamento da/o petiana/o quando o ac ́umulo de 2 reprovações depois do seu ingresso no PET. Que seja proposto, por exemplo, o aumento do limite das reprovações de acordo com a carga horaria semestral de disciplinas do curso ou considerando que essas duas reprovações não sejam
periodicas (semestral ou anual), sendo isso avaliado pelo CLAA da referida IES antes de estabelecido o desligamento.",0.28314410692345016
GDT 15 - ENAPET 2020,"Que a Diretoria da CENAPET, ap ́os o XXV ENAPET, envie um of ́ıcio direcionado a todas IES que não tenham um CLAA, para que o mesmo seja estabelecido, mostrando a importância do comite, como
previsto no Artigo 11o da Portaria MEC no 976 de 27 de julho de 2010, com redação dada pela portaria MEC o 343 de 24 de abril de 2013.",GDT 11: Desligamento de petianos: quando pode acon - ENAPET 2022,"Encaminhamento 1: Que, após o término do XXVII ENAPET, a Diretoria da CENAPET envie à SESu/MEC a solicitação de exclusão do inciso “IV - acumular duas reprovações em disciplinas após o seu ingresso no PET;” do artigo 20 da Portaria 343, DE 24 DE ABRIL DE 2013 onde altera dispositivos da Portaria MEC n° 976, de 27 de julho de 2010, que dispõe sobre o Programa de Educação Tutorial, delegando ao CLAA avaliar a manutenção, ou não, do discente em caso de maior número de reprovações. [ALTERAÇÃO DE TEXTO] GDT 11 (Encaminhamento 1): Que, após o término do XXVII ENAPET, a Diretoria da CENAPET envie à SESu/MEC a solicitação de exclusão sobre acúmulo de duas reprovações em disciplinas após o seu ingresso no PET. 40 pessoas presentes - Aprovado 76%",0.27413406686109687
GDT 2 - ENAPET 2019,A Diretoria da CENAPET deverá solicitar no próximo encontro com o MEC a possibilidade de inclusão de um arquivo PDF (com um limite de páginas ou tamanho) na conclusão de cada atividade realizada pelo grupo PET no relatório anual inserido no SIGPET 2.0.,GT 8 - ENAPET 2018,"Que a diretoria da CENAPET solicite ao MEC na minuta referente à portaria, que seja inserido nos deveres do CLAA solicitar às IES a hospedagem e, se possível, a criação de sites institucionais para cada grupo PET e certifiquem-se que ele esteja pronto até o XXIV ENAPET. E que cada grupo PET se comprometa a atualizar seu site com o planejamento anual, relatório e atividades desenvolvidas durante o ano.",0.26564940970351864
GT 8 - ENAPET 2018,"Que a diretoria da CENAPET solicite ao MEC na minuta referente à portaria, que seja inserido nos deveres do CLAA solicitar às IES a hospedagem e, se possível, a criação de sites institucionais para cada grupo PET e certifiquem-se que ele esteja pronto até o XXIV ENAPET. E que cada grupo PET se comprometa a atualizar seu site com o planejamento anual, relatório e atividades desenvolvidas durante o ano.",GDT 2 - ENAPET 2019,A Diretoria da CENAPET deverá solicitar no próximo encontro com o MEC a possibilidade de inclusão de um arquivo PDF (com um limite de páginas ou tamanho) na conclusão de cada atividade realizada pelo grupo PET no relatório anual inserido no SIGPET 2.0.,0.26564940970351864
GDT 1 - ENAPET 2018,Que a Comissão Nacional do Mobiliza PET inclua na pauta de reivindicação do VI Mobiliza PET o pedido de autorização ao Ministério da Educação - MEC quanto à utilização do custeio para financiamento de inscrições e transporte para a participação dos eventos PET regionais e nacionais.,GDT 2 - Mobiliza PET e Visibilidade do Programa na - ENAPET 2020,"Que a partir do ano de 2021, todos os PET-IES se articulam com o Mobiliza PET Nacional objetivando fundar uma célula do Mobiliza PET em cada IES. O Mobiliza PET Nacional fica com a tarefa de orientar cada IES para construir seu Mobiliza Local. As diretrizes das células do Mobiliza PET - IES serão de acordo com as próprias realidades, mas para além delas, que o Mobiliza PET também tenha e sugira pautas alinhadas com todas as células do Mobiliza, buscando alinhamento com a conjuntura nacional.",0.265448776682938
